"cell_id";"species";"observations";"guild";"status";"record.type"
1;"Hemiphaga_novaeseelandiae";2;"birds";"Native";"TIER1"
2;"Hemiphaga_novaeseelandiae";10;"birds";"Native";"TIER1"
4;"Hemiphaga_novaeseelandiae";14;"birds";"Native";"TIER1"
5;"Hemiphaga_novaeseelandiae";12;"birds";"Native";"TIER1"
7;"Hemiphaga_novaeseelandiae";3;"birds";"Native";"TIER1"
8;"Hemiphaga_novaeseelandiae";19;"birds";"Native";"TIER1"
9;"Hemiphaga_novaeseelandiae";7;"birds";"Native";"TIER1"
10;"Hemiphaga_novaeseelandiae";19;"birds";"Native";"TIER1"
12;"Hemiphaga_novaeseelandiae";6;"birds";"Native";"TIER1"
13;"Hemiphaga_novaeseelandiae";34;"birds";"Native";"TIER1"
14;"Hemiphaga_novaeseelandiae";21;"birds";"Native";"TIER1"
