"cell_id";"guild";"record.type";"richness"
420;"plants";"GBIF";43
420;"plants";"NVS";25
421;"birds";"GBIF";17
421;"plants";"GBIF";1
422;"birds";"GBIF";21
422;"plants";"GBIF";1
423;"birds";"GBIF";22
423;"plants";"GBIF";20
424;"birds";"GBIF";25
425;"birds";"GBIF";19
425;"plants";"GBIF";3
426;"birds";"GBIF";16
427;"birds";"GBIF";21
427;"birds";"TIER1";12
427;"plants";"GBIF";1
427;"plants";"NVS";25
428;"birds";"GBIF";12
428;"plants";"NVS";33
429;"birds";"GBIF";18
430;"birds";"GBIF";28
430;"birds";"TIER1";19
430;"plants";"GBIF";2
430;"plants";"NVS";12
431;"birds";"GBIF";26
431;"plants";"GBIF";1
432;"birds";"GBIF";17
433;"birds";"GBIF";15
433;"plants";"NVS";17
434;"birds";"GBIF";21
435;"birds";"GBIF";21
436;"birds";"GBIF";21
436;"plants";"NVS";24
437;"birds";"GBIF";5
438;"birds";"GBIF";21
439;"plants";"NVS";24
440;"birds";"GBIF";13
440;"birds";"TIER1";14
440;"plants";"GBIF";4
440;"plants";"NVS";34
441;"birds";"TIER1";12
441;"plants";"GBIF";4
441;"plants";"NVS";43
442;"birds";"GBIF";19
442;"birds";"TIER1";11
442;"plants";"GBIF";1
442;"plants";"NVS";32
443;"birds";"GBIF";16
443;"plants";"NVS";10
444;"birds";"GBIF";17
445;"birds";"GBIF";16
445;"plants";"NVS";14
447;"birds";"GBIF";19
448;"birds";"GBIF";22
449;"birds";"GBIF";19
449;"plants";"GBIF";1
450;"birds";"GBIF";23
450;"birds";"TIER1";12
450;"plants";"GBIF";36
450;"plants";"NVS";19
451;"birds";"GBIF";15
452;"birds";"GBIF";15
452;"plants";"GBIF";9
453;"birds";"GBIF";15
454;"birds";"GBIF";30
454;"birds";"TIER1";2
454;"plants";"GBIF";26
454;"plants";"NVS";48
455;"birds";"GBIF";21
456;"birds";"GBIF";23
457;"birds";"GBIF";23
457;"birds";"TIER1";15
457;"plants";"GBIF";26
457;"plants";"NVS";19
458;"birds";"GBIF";19
458;"plants";"GBIF";19
458;"plants";"NVS";8
459;"birds";"GBIF";23
459;"plants";"GBIF";1
459;"plants";"NVS";19
460;"birds";"GBIF";26
461;"birds";"GBIF";28
461;"plants";"NVS";6
462;"birds";"GBIF";26
462;"plants";"GBIF";26
462;"plants";"NVS";13
463;"birds";"GBIF";24
463;"birds";"TIER1";16
463;"plants";"GBIF";29
463;"plants";"NVS";23
464;"birds";"GBIF";22
465;"birds";"GBIF";15
466;"birds";"GBIF";24
467;"birds";"GBIF";26
467;"plants";"GBIF";1
468;"birds";"GBIF";25
