"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_philomelos";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_philomelos";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_philomelos";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Zosterops_lateralis";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
